national_material_code,cpse,legacy_material_code,legacy_description,legacy_uom,mapped_at
PROVISIONAL-BALL-BEARING-SAIL-S100189,SAIL,S100189,BALL BEARING / 35 mm / 2 RS / 627 / DEEP GROOVE,NUM,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-SAIL-S100035,SAIL,S100035,HEX BOLT / PLAIN / M10x30MM,NUM,2026-09-04T14:30:21
NMC-ELEC-CONTR-FA9754D8,SAIL,S100525,CONTACTOR / 230 V AC / 65 A,NUM,2026-09-04T14:30:21
NMC-FIT-REDUCER-47888608,SAIL,S100427,REDUCER / SCH 40 / ASTM-A234-WPB / 2 INCHx1 INCH,NUM,2026-09-04T14:30:21
PROVISIONAL-CABLE-SAIL-S100476,SAIL,S100476,CABLE / 2C-1.5SQMM / 1.1 kV / PVC,NUM,2026-09-04T14:30:21
NMC-LUB-HYDOIL-33E8D19A,SAIL,S100581,HYDRAULIC OIL / MINERAL / ISO-VG-46,PKTS,2026-09-04T14:30:21
NMC-PIPE-F08FFF37,SAIL,S100378,PIPE SEAMLESS / SEAMLESS / 6 INCH NB / ASTM-A106-Gr-B,MTR.,2026-09-04T14:30:21
NMC-FAST-STUD-92B4E45B,SAIL,S100147,STUD BOLT / PLAIN / M16x80MM / B7,NUM,2026-09-04T14:30:21
NMC-BRG-BALL-FA35062E,SAIL,S100175,BALL BEARING / 6205,NUM,2026-09-04T14:30:21
PROVISIONAL-CABLE-SAIL-S100455,SAIL,S100455,CABLE / XLPE / 1.1 kV,NUM,2026-09-04T14:30:21
PROVISIONAL-CABLE-SAIL-S100462,SAIL,S100462,CABLE / 1.1 oV / 3C-2.5SQMM / XLPE,NUM,2026-09-04T14:30:21
NMC-FAST-NUT-853A4B1A,SAIL,S100070,HEX NUT / PLAIN / DIN-934 / M10 / A470,NUM,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-SAIL-S100182,SAIL,S100182,BALL BEARING / 6204 / 20 mm / DEEP GROOVE,NUM,2026-09-04T14:30:21
NMC-LUB-GREASE-61C73F0D,SAIL,S100553,GREASE / 5 kg / NLGI 2,PKTS,2026-09-04T14:30:21
NMC-PIPE-5BD0BCB7,SAIL,S100399,PIPE SS / A312 TP304 / SEAMLESS / 2 INCH NB / SCH 10,MTR.,2026-09-04T14:30:21
NMC-INS-PGAUGE-84E4439D,SAIL,S100651,PRESSURE GAUGE / 0-10 kg/cm2 / 4 INCH / BOURDON,NUM,2026-09-04T14:30:21
NMC-VLV-BFLY-F8D95E9D,SAIL,S100343,BUTTERFLY VALVE / 150# / 6 INCH,NUM,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-SAIL-S100203,SAIL,S100203,BALL BEARING / 628 / 45 mm / DEEP GROOVE,NUM,2026-09-04T14:30:21
PROVISIONAL-THERMOWELL-SAIL-S100672,SAIL,S100672,THERMOWELL / 150 mm / 1/2 INCH,NUM,2026-09-04T14:30:21
NMC-FAST-NUT-E7BE7B61,SAIL,S100098,HEX NUT / DIN-934 / GALVANIZED / M18 / 8 GR,NUM,2026-09-04T14:30:21
NMC-PIPE-B9B9E7C7,SAIL,S100371,PIPE SEAMLESS / SEAMLESS,MTR.,2026-09-04T14:30:21
NMC-VLV-SAFETY-8D4A7589,SAIL,S100357,SAFETY VALVE / 1 INCHx1.5 INCH / 150#,NUM,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-SAIL-S100210,SAIL,S100210,BALL BEARING / DEEP GROOVE / 2 RS,NUM,2026-09-04T14:30:21
PROVISIONAL-PRESSURE-GAUGE-SAIL-S100658,SAIL,S100658,PRESSURE GAUGE / 1/2 BSP / 4 INCH / BOURDON / 0-16 kg/cm2,NUM,2026-09-04T14:30:21
NMC-PIPE-85C25447,SAIL,S100392,PIPE SS / 2 INCH NB / A312 TP316 / SEAMLESS,MTR.,2026-09-04T14:30:21
NMC-FAST-BOLT-1E493716,SAIL,S100007,HEX BOLT / 8.8 GR / BLACK / DIN-931,NUM,2026-09-04T14:30:21
NMC-FAST-NUT-170EAEDE,SAIL,S100063,HEX NUT / PLAIN / M10 / DIN-934 / A270,NUM,2026-09-04T14:30:21
NMC-FIT-ELBOW-00E830EF,SAIL,S100406,ELBOW / 2 INCH / SCH 40,NUM,2026-09-04T14:30:21
NMC-VLV-GLOBE-344344D8,SAIL,S100315,GLOBE VALVE / FORGED STEEL / SOCKET WELD / 800#,NUM,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-SAIL-S100196,SAIL,S100196,BALL BEARING / 2 RS / 35 mm / 627,NUM,2026-09-04T14:30:21
NMC-VLV-CHECK-5720390A,SAIL,S100336,CHECK VALVE / 150# / CASr STEEL / 3 INCH / FLANGED,NUM,2026-09-04T14:30:21
NMC-VLV-SAFETY-74D22385,SAIL,S100350,SAFETY VALVE / SCREWED / 1 INCHx1.5 INCH / 150#,NUM,2026-09-04T14:30:21
NMC-GEN-5B1CE629,SAIL,S100168,BALL BEARxNG / 25 mm / DEEP GROOVE / 2 RS,NUM,2026-09-04T14:30:21
NMC-VLV-CHECK-8D0BF910,SAIL,S100329,CHECK VALVE / CAST IRON / FLANGED,NUM,2026-09-04T14:30:21
NMC-BRG-BALL-D67D1726,SAIL,S100224,BALL BEARING / 6305 / DEEP GROOVE / 25 mm / 2 RS,NUM,2026-09-04T14:30:21
NMC-GEN-A0E463A2,SAIL,S100014,HEX BhLT / ZP / 8.8 GR / M12x40MM / IS-1364,NUM,2026-09-04T14:30:21
PROVISIONAL-CABLE-SAIL-S100483,SAIL,S100483,CABLE / XLPE / 4C-10SQMM,NUM,2026-09-04T14:30:21
NMC-ELEC-MCB-EF31AEAE,SAIL,S100546,MCB / 2P / C curve / 415 V,NUM,2026-09-04T14:30:21
NMC-INS-PGAUGE-471B647C,SAIL,S100665,PRESSURE GAUGE / 0-10 kg/cm2 / 1/2 BSP / 6 INCH,NUM,2026-09-04T14:30:21
NMC-INS-THRMW-6B522C82,SAIL,S100679,THERMOWELL / 150 mm / 1/2 INCH / SS-304,NUM,2026-09-04T14:30:21
