kind,reason,cpse,material_code,description,top_candidates,suggested_nmc,decision
record,missing-identity-attribute,SAIL,S100371,PIPE SEAMLESS / SEAMLESS,"SAIL/S100364 (sim 0.78): PIPE SEAMLESS / ASTM-A106-Gr-B / SCH 80 / 2 INCH NB / SEAMLESS || CPCL/MAT100054 (sim 0.76): PIPE SEAMLESS SMLS, 3"" NPS, ASTM A106 Gr B, SCH 40 || CPCL/MAT100055 (sim 0.74): PIPE SEAMLESS 6"" NPS, SCH 40, ASTM A106 Gr B, SMLS",NMC-PIPE-186FE698,
record,missing-identity-attribute,CPCL,MAT100052,"PIPE SEAMLESS ASTM A106 Gr B, SCH 40, SMLS","NTPC/EGW000052 (sim 0.98): Seamless Pipe, SCH 40, SMLS, ASTM A106 Gr B || IOCL/RM-00056 (sim 0.96): Seamlzss Pipe – Seamless – ASTM A106 Gr B – SCH 40 || IOCL/RM-00055 (sim 0.95): Seamless Pipe – 3"" NPS – Seamless – ASTM A106 Gr B – SCH 40",PROVISIONAL-PIPE-NTPC-EGW000052,
record,missing-identity-attribute,IOCL,RM-00056,Seamlzss Pipe – Seamless – ASTM A106 Gr B – SCH 40,"NTPC/EGW000052 (sim 0.94): Seamless Pipe, SCH 40, SMLS, ASTM A106 Gr B || IOCL/RM-00055 (sim 0.93): Seamless Pipe – 3"" NPS – Seamless – ASTM A106 Gr B – SCH 40 || CPCL/MAT100054 (sim 0.92): PIPE SEAMLESS SMLS, 3"" NPS, ASTM A106 Gr B, SCH 40",PROVISIONAL-PIPE-NTPC-EGW000052,
record,missing-identity-attribute,NTPC,EGW000053,"Seamless Pipe, 6"" NB","SAIL/S100371 (sim 0.80): PIPE SEAMLESS / SEAMLESS || SAIL/S100378 (sim 0.79): PIPE SEAMLESS / SEAMLESS / 6 INCH NB / ASTM-A106-Gr-B || CPCL/MAT100055 (sim 0.77): PIPE SEAMLESS 6"" NPS, SCH 40, ASTM A106 Gr B, SMLS",NMC-PIPE-B9B9E7C7,
record,missing-identity-attribute,NTPC,EGW000052,"Seamless Pipe, SCH 40, SMLS, ASTM A106 Gr B","CPCL/MAT100055 (sim 0.95): PIPE SEAMLESS 6"" NPS, SCH 40, ASTM A106 Gr B, SMLS || CPCL/MAT100054 (sim 0.95): PIPE SEAMLESS SMLS, 3"" NPS, ASTM A106 Gr B, SCH 40 || IOCL/RM-00055 (sim 0.95): Seamless Pipe – 3"" NPS – Seamless – ASTM A106 Gr B – SCH 40",NMC-PIPE-8A2266BD,
record,missing-identity-attribute,SAIL,S100378,PIPE SEAMLESS / SEAMLESS / 6 INCH NB / ASTM-A106-Gr-B,"CPCL/MAT100055 (sim 0.90): PIPE SEAMLESS 6"" NPS, SCH 40, ASTM A106 Gr B, SMLS || SAIL/S100371 (sim 0.76): PIPE SEAMLESS / SEAMLESS",NMC-PIPE-8A2266BD,
record,missing-identity-attribute,CPCL,MAT100053,"PIPE SEAMLESS SMLS, 2"" NPS, ASTM A106 Gr B","SAIL/S100364 (sim 0.92): PIPE SEAMLESS / ASTM-A106-Gr-B / SCH 80 / 2 INCH NB / SEAMLESS || CPCL/MAT100052 (sim 0.89): PIPE SEAMLESS ASTM A106 Gr B, SCH 40, SMLS || NTPC/EGW000052 (sim 0.86): Seamless Pipe, SCH 40, SMLS, ASTM A106 Gr B",NMC-PIPE-186FE698,
record,missing-identity-attribute,NTPC,EGW000057,"Ss Pipe, 2"" NB, SCH 10","NTPC/EGW000056 (sim 0.80): Ss Pipe, SCH 10, A312 TP316, SMLS, 2"" NB || CPCL/MAT100057 (sim 0.78): PIPE SS 2"" NPS, SCH 10, SMLS, A312 TP316 || SAIL/S100399 (sim 0.77): PIPE SS / A312 TP304 / SEAMLESS / 2 INCH NB / SCH 10",NMC-PIPE-D36FD359,
record,missing-identity-attribute,SAIL,S100392,PIPE SS / 2 INCH NB / A312 TP316 / SEAMLESS,"IOCL/RM-00059 (sim 0.91): Ss Pipe – A312 TP316 – 2"" NPS – SCH 10 – Seamless || CPCL/MAT100057 (sim 0.90): PIPE SS 2"" NPS, SCH 10, SMLS, A312 TP316 || NTPC/EGW000056 (sim 0.87): Ss Pipe, SCH 10, A312 TP316, SMLS, 2"" NB",NMC-PIPE-D36FD359,
record,missing-identity-attribute,IOCL,RM-00054,"Seamless Pipe – SCH 80 – Seamless – 2"" NPS","SAIL/S100364 (sim 0.81): PIPE SEAMLESS / ASTM-A106-Gr-B / SCH 80 / 2 INCH NB / SEAMLESS || SAIL/S100371 (sim 0.77): PIPE SEAMLESS / SEAMLESS || NTPC/EGW000058 (sim 0.63): Ss Pipe, A312 TP304, 2"" NB, SMLS",NMC-PIPE-186FE698,
record,missing-identity-attribute,NTPC,EGW000058,"Ss Pipe, A312 TP304, 2"" NB, SMLS","SAIL/S100399 (sim 0.88): PIPE SS / A312 TP304 / SEAMLESS / 2 INCH NB / SCH 10 || NTPC/EGW000057 (sim 0.67): Ss Pipe, 2"" NB, SCH 10 || SAIL/S100371 (sim 0.63): PIPE SEAMLESS / SEAMLESS",NMC-PIPE-5BD0BCB7,
cluster,low-confidence,"CPCL,IOCL,NTPC,SAIL",NMC-FAST-WSHR-5841AA67,FLAT WASHER | M16 | ZN | DIN 125 | NOS,CLUSTER (confidence 0.69): low-confidence merge held for review,NMC-FAST-WSHR-5841AA67,
cluster,low-confidence,"CPCL,IOCL,NTPC,SAIL",NMC-BRG-ROLL-B38FA5A7,ROLLER BEARING | 22206 | OPEN | NOS,CLUSTER (confidence 0.65): low-confidence merge held for review,NMC-BRG-ROLL-B38FA5A7,
cluster,low-confidence,"CPCL,IOCL",NMC-FAST-WSHR-050B2B5D,FLAT WASHER | M10 | ZN | DIN 125 | NOS,CLUSTER (confidence 0.68): low-confidence merge held for review,NMC-FAST-WSHR-050B2B5D,
cluster,low-confidence,"IOCL,NTPC,SAIL",NMC-PMP-CENT-9A7BC73B,CENTRIFUGAL PUMP | 25M3/HR | 32M | 3.7KW | MECH | NOS,CLUSTER (confidence 0.68): low-confidence merge held for review,NMC-PMP-CENT-9A7BC73B,
